gamma,delta,iteration,fitness,label
0.1,0.1,1,0.5083519980968345,g0.1_d0.1
0.1,0.1,2,0.508513574897922,g0.1_d0.1
0.1,0.1,3,0.5085425282282346,g0.1_d0.1
0.1,0.1,4,0.5085558041684249,g0.1_d0.1
0.1,0.1,5,0.5085558041684249,g0.1_d0.1
0.1,0.1,6,0.508563008518221,g0.1_d0.1
0.1,0.1,7,0.5086248571815649,g0.1_d0.1
0.1,0.1,8,0.5086248571815649,g0.1_d0.1
0.1,0.1,9,0.5086420751244739,g0.1_d0.1
0.1,0.1,10,0.5086420751244739,g0.1_d0.1
0.1,0.1,11,0.5086539917533819,g0.1_d0.1
0.1,0.1,12,0.5086559854099293,g0.1_d0.1
0.1,0.1,13,0.508664820933264,g0.1_d0.1
0.1,0.1,14,0.5086652740370249,g0.1_d0.1
0.1,0.1,15,0.5086759672857788,g0.1_d0.1
0.1,0.1,16,0.5087056002717326,g0.1_d0.1
0.1,0.1,17,0.5087059174443651,g0.1_d0.1
0.1,0.1,18,0.5087089985499383,g0.1_d0.1
0.1,0.1,19,0.5087089985499383,g0.1_d0.1
0.1,0.1,20,0.5087126686904004,g0.1_d0.1
0.1,0.1,21,0.5087126686904004,g0.1_d0.1
0.1,0.1,22,0.5087204167647095,g0.1_d0.1
0.1,0.1,23,0.5087204167647095,g0.1_d0.1
0.1,0.1,24,0.5087254009060779,g0.1_d0.1
0.1,0.1,25,0.5087254009060779,g0.1_d0.1
0.1,0.1,26,0.5087254009060779,g0.1_d0.1
0.1,0.1,27,0.5087254009060779,g0.1_d0.1
0.1,0.1,28,0.5087254009060779,g0.1_d0.1
0.1,0.1,29,0.5087254009060779,g0.1_d0.1
0.1,0.1,30,0.5087315178068481,g0.1_d0.1
0.1,0.1,31,0.5087315178068481,g0.1_d0.1
0.1,0.1,32,0.5087333302218912,g0.1_d0.1
0.1,0.1,33,0.5087333302218912,g0.1_d0.1
0.1,0.1,34,0.5087453374715514,g0.1_d0.1
0.1,0.1,35,0.5087538105118776,g0.1_d0.1
0.1,0.1,36,0.5087538105118776,g0.1_d0.1
0.1,0.1,37,0.5087538105118776,g0.1_d0.1
0.1,0.1,38,0.5087538105118776,g0.1_d0.1
0.1,0.1,39,0.5087594743088871,g0.1_d0.1
0.1,0.1,40,0.5087594743088871,g0.1_d0.1
0.1,0.1,41,0.5087594743088871,g0.1_d0.1
0.1,0.1,42,0.5087594743088871,g0.1_d0.1
0.1,0.1,43,0.5087594743088871,g0.1_d0.1
0.1,0.1,44,0.5087594743088871,g0.1_d0.1
0.1,0.1,45,0.5087604711371607,g0.1_d0.1
0.1,0.1,46,0.5087604711371607,g0.1_d0.1
0.1,0.1,47,0.5087655458992812,g0.1_d0.1
0.1,0.1,48,0.5087970366106542,g0.1_d0.1
0.1,0.1,49,0.5087970366106542,g0.1_d0.1
0.1,0.1,50,0.5087970366106542,g0.1_d0.1
