sweep,alpha,beta,fitness
free_grid,0.1,0.1,-132.0022997657719
free_grid,0.1,0.23,-553.7590894612755
free_grid,0.1,0.37,-1007.9587091333561
free_grid,0.1,0.5,-1429.7154988288598
free_grid,0.1,0.63,-1851.4722885243632
free_grid,0.1,0.77,-2305.6719081964443
free_grid,0.1,0.9,-2727.4286978919476
free_grid,0.23,0.1,118.15150023422814
free_grid,0.23,0.23,-303.60528946127545
free_grid,0.23,0.37,-757.8049091333561
free_grid,0.23,0.5,-1179.5616988288598
free_grid,0.23,0.63,-1601.3184885243631
free_grid,0.23,0.77,-2055.5181081964442
free_grid,0.23,0.9,-2477.2748978919476
free_grid,0.37,0.1,387.5479002342281
free_grid,0.37,0.23,-34.208889461275476
free_grid,0.37,0.37,-488.4085091333561
free_grid,0.37,0.5,-910.1652988288597
free_grid,0.37,0.63,-1331.9220885243633
free_grid,0.37,0.77,-1786.1217081964442
free_grid,0.37,0.9,-2207.8784978919475
free_grid,0.5,0.1,637.7017002342282
free_grid,0.5,0.23,215.94491053872457
free_grid,0.5,0.37,-238.25470913335607
free_grid,0.5,0.5,-660.0114988288597
free_grid,0.5,0.63,-1081.7682885243632
free_grid,0.5,0.77,-1535.9679081964441
free_grid,0.5,0.9,-1957.7246978919475
free_grid,0.63,0.1,887.8555002342282
free_grid,0.63,0.23,466.0987105387246
free_grid,0.63,0.37,11.899090866643974
free_grid,0.63,0.5,-409.8576988288596
free_grid,0.63,0.63,-831.6144885243632
free_grid,0.63,0.77,-1285.814108196444
free_grid,0.63,0.9,-1707.5708978919474
free_grid,0.77,0.1,1157.2519002342283
free_grid,0.77,0.23,735.4951105387247
free_grid,0.77,0.37,281.29549086664406
free_grid,0.77,0.5,-140.46129882885953
free_grid,0.77,0.63,-562.2180885243631
free_grid,0.77,0.77,-1016.417708196444
free_grid,0.77,0.9,-1438.1744978919473
free_grid,0.9,0.1,1407.4057002342283
free_grid,0.9,0.23,985.6489105387247
free_grid,0.9,0.37,531.4492908666441
free_grid,0.9,0.5,109.69250117114052
free_grid,0.9,0.63,-312.06428852436306
free_grid,0.9,0.77,-766.2639081964439
free_grid,0.9,0.9,-1188.0206978919473
constrained_alpha+beta=1,0.05,0.95,-2985.8558477748334
constrained_alpha+beta=1,0.114,0.886,-2655.0690959247395
constrained_alpha+beta=1,0.179,0.821,-2319.113801076988
constrained_alpha+beta=1,0.243,0.757,-1988.3270492268937
constrained_alpha+beta=1,0.307,0.693,-1657.5402973767996
constrained_alpha+beta=1,0.371,0.629,-1326.7535455267055
constrained_alpha+beta=1,0.436,0.564,-990.7982506789535
constrained_alpha+beta=1,0.5,0.5,-660.0114988288597
constrained_alpha+beta=1,0.564,0.436,-329.22474697876555
constrained_alpha+beta=1,0.629,0.371,6.73054786898615
constrained_alpha+beta=1,0.693,0.307,337.51729971908003
constrained_alpha+beta=1,0.757,0.243,668.3040515691744
constrained_alpha+beta=1,0.821,0.179,999.0908034192682
constrained_alpha+beta=1,0.886,0.114,1335.0460982670202
constrained_alpha+beta=1,0.95,0.05,1665.832850117114
